Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Air Force,,,,,,,,,,,,,,,,0-0,
Akron,,,,,,,,,,,,,,,,0-0,
Alabama Crimson Tide,,,,,,,,,,,,,,,,0-0,
App State,,,,,,,,,,,,,,,,0-0,
Arizona,,,,,,,,,,,,,,,,0-0,
Arizona State,,,,,,,,,,,,,,,,0-0,
Arkansas,,,,,,,,,,,,,,,,0-0,
Arkansas State,,,,,,,,,,,,,,,,0-0,
Army,,,,,,,,,,,,,,,,0-0,
Auburn,,,,,,,,,,,,,,,,0-0,
Ball State,,,,,,,,,,,,,,,,0-0,
Baylor,,,,,,,,,,,,,,,,0-0,
Boise State,,,,,,,,,,,,,,,,0-0,
Boston College,,,,,,,,,,,,,,,,0-0,
Bowling Green,,,,,,,,,,,,,,,,0-0,
Buffalo,,,,,,,,,,,,,,,,0-0,
Byu,,,,,,,,,,,,,,,,0-0,
California,,,,,,,,,,,,,,,,0-0,
Central Michigan,,,,,,,,,,,,,,,,0-0,
Charlotte,,,,,,,,,,,,,,,,0-0,
Cincinnati,,,,,,,,,,,,,,,,0-0,
Clemson Tigers,,,,,,,,,,,,,,,,0-0,
Coastal Carolina,,,,,,,,,,,,,,,,0-0,
Colorado,,,,,,,,,,,,,,,,0-0,
Colorado State,,,,,,,,,,,,,,,,0-0,
Delaware,,,,,,,,,,,,,,,,0-0,
Duke,,,,,,,,,,,,,,,,0-0,
East Carolina,,,,,,,,,,,,,,,,0-0,
Eastern Michigan,,,,,,,,,,,,,,,,0-0,
Florida,,,,,,,,,,,,,,,,0-0,
Florida Atlantic,,,,,,,,,,,,,,,,0-0,
Florida International,,,,,,,,,,,,,,,,0-0,
Florida State,,,,,,,,,,,,,,,,0-0,
Fresno State,,,,,,,,,,,,,,,,0-0,
Georgia Bulldogs,,,,,,,,,,,,,,,,0-0,
Georgia Southern,,,,,,,,,,,,,,,,0-0,
Georgia State,,,,,,,,,,,,,,,,0-0,
Georgia Tech,,,,,,,,,,,,,,,,0-0,
Hawai'i,,,,,,,,,,,,,,,,0-0,
Houston,,,,,,,,,,,,,,,,0-0,
Illinois,,,,,,,,,,,,,,,,0-0,
Indiana,,,,,,,,,,,,,,,,0-0,
Iowa,,,,,,,,,,,,,,,,0-0,
Iowa State,,,,,,,,,,,,,,,,0-0,
Jacksonville State,,,,,,,,,,,,,,,,0-0,
James Madison,,,,,,,,,,,,,,,,0-0,
Kansas,,,,,,,,,,,,,,,,0-0,
Kansas State,,,,,,,,,,,,,,,,0-0,
Kennesaw State,,,,,,,,,,,,,,,,0-0,
Kent State,,,,,,,,,,,,,,,,0-0,
Kentucky,,,,,,,,,,,,,,,,0-0,
Liberty,,,,,,,,,,,,,,,,0-0,
Louisiana,,,,,,,,,,,,,,,,0-0,
Louisiana Tech,,,,,,,,,,,,,,,,0-0,
Louisville,,,,,,,,,,,,,,,,0-0,
Lsu,,,,,,,,,,,,,,,,0-0,
Marshall,,,,,,,,,,,,,,,,0-0,
Maryland,,,,,,,,,,,,,,,,0-0,
Massachusetts,,,,,,,,,,,,,,,,0-0,
Memphis,,,,,,,,,,,,,,,,0-0,
Miami,,,,,,,,,,,,,,,,0-0,
Miami (oh),,,,,,,,,,,,,,,,0-0,
Michigan,,,,,,,,,,,,,,,,0-0,
Michigan State,,,,,,,,,,,,,,,,0-0,
Middle Tennessee,,,,,,,,,,,,,,,,0-0,
Minnesota,,,,,,,,,,,,,,,,0-0,
Mississippi State,,,,,,,,,,,,,,,,0-0,
Missouri,,,,,,,,,,,,,,,,0-0,
Missouri State,,,,,,,,,,,,,,,,0-0,
Navy,,,,,,,,,,,,,,,,0-0,
Nc State,,,,,,,,,,,,,,,,0-0,
Nebraska,,,,,,,,,,,,,,,,0-0,
Nevada,,,,,,,,,,,,,,,,0-0,
New Mexico,,,,,,,,,,,,,,,,0-0,
New Mexico State,,,,,,,,,,,,,,,,0-0,
North Carolina,,,,,,,,,,,,,,,,0-0,
North Texas,,,,,,,,,,,,,,,,0-0,
Northern Illinois,,,,,,,,,,,,,,,,0-0,
Northwestern,,,,,,,,,,,,,,,,0-0,
Notre Dame Fighting Irish,,,,,,,,,,,,,,,,0-0,
Ohio,,,,,,,,,,,,,,,,0-0,
Ohio State Buckeyes,,,,,,,,,,,,,,,,0-0,
Oklahoma,,,,,,,,,,,,,,,,0-0,
Oklahoma State,,,,,,,,,,,,,,,,0-0,
Old Dominion,,,,,,,,,,,,,,,,0-0,
Ole Miss,,,,,,,,,,,,,,,,0-0,
Oregon Ducks,,,,,,,,,,,,,,,,0-0,
Oregon State,,,,,,,,,,,,,,,,0-0,
Penn State,,,,,,,,,,,,,,,,0-0,
Pittsburgh,,,,,,,,,,,,,,,,0-0,
Purdue,,,,,,,,,,,,,,,,0-0,
Rice,,,,,,,,,,,,,,,,0-0,
Rutgers,,,,,,,,,,,,,,,,0-0,
Sam Houston,,,,,,,,,,,,,,,,0-0,
San Diego State,,,,,,,,,,,,,,,,0-0,
San José State,,,,,,,,,,,,,,,,0-0,
Smu,,,,,,,,,,,,,,,,0-0,
South Alabama,,,,,,,,,,,,,,,,0-0,
South Carolina,,,,,,,,,,,,,,,,0-0,
South Florida,,,,,,,,,,,,,,,,0-0,
Southern Miss,,,,,,,,,,,,,,,,0-0,
Stanford,,,,,,,,,,,,,,,,0-0,
Syracuse,,,,,,,,,,,,,,,,0-0,
Tcu,,,,,,,,,,,,,,,,0-0,
Temple,,,,,,,,,,,,,,,,0-0,
Tennessee,,,,,,,,,,,,,,,,0-0,
Texas Aandm,,,,,,,,,,,,,,,,0-0,
Texas Longhorns,,,,,,,,,,,,,,,,0-0,
Texas State,,,,,,,,,,,,,,,,0-0,
Texas Tech,,,,,,,,,,,,,,,,0-0,
Toledo,,,,,,,,,,,,,,,,0-0,
Troy,,,,,,,,,,,,,,,,0-0,
Tulane,,,,,,,,,,,,,,,,0-0,
Tulsa,,,,,,,,,,,,,,,,0-0,
USC Trojans,,,,,,,,,,,,,,,,0-0,
Uab,,,,,,,,,,,,,,,,0-0,
Ucf,,,,,,,,,,,,,,,,0-0,
Ucla,,,,,,,,,,,,,,,,0-0,
Uconn,,,,,,,,,,,,,,,,0-0,
Ul Monroe,,,,,,,,,,,,,,,,0-0,
Unlv,,,,,,,,,,,,,,,,0-0,
Utah,,,,,,,,,,,,,,,,0-0,
Utah State,,,,,,,,,,,,,,,,0-0,
Utep,,,,,,,,,,,,,,,,0-0,
Utsa,,,,,,,,,,,,,,,,0-0,
Vanderbilt,,,,,,,,,,,,,,,,0-0,
Virginia,,,,,,,,,,,,,,,,0-0,
Virginia Tech,,,,,,,,,,,,,,,,0-0,
Wake Forest,,,,,,,,,,,,,,,,0-0,
Washington,,,,,,,,,,,,,,,,0-0,
Washington State,,,,,,,,,,,,,,,,0-0,
West Virginia,,,,,,,,,,,,,,,,0-0,
Western Kentucky,,,,,,,,,,,,,,,,0-0,
Western Michigan,,,,,,,,,,,,,,,,0-0,
Wisconsin,,,,,,,,,,,,,,,,0-0,
Wyoming,,,,,,,,,,,,,,,,0-0,
